Temperature,Value
1.046230263,17194.11198
3.425041721,17313.68824
5.803853179,17438.41865
8.182664637,17573.45736
10.56147609,17715.71188
12.94028755,17871.36719
15.31909901,18030.11499
17.69791047,18205.35606
20.07672193,18381.62796
22.45553338,18578.51646
24.83434484,18779.52828
27.2131563,18992.91006
29.59196776,19204.23018
31.97077921,19437.19773
34.34959067,19667.07278
36.72840213,19915.50277
39.10721359,20145.37783
41.37789725,20398.44656
43.64858092,20642.23782
45.91926458,20896.23429
48.08182045,21138.89164
50.24437632,21383.81681
52.40693219,21633.27763
54.56948806,21882.73845
56.73204393,22134.4671
58.89459981,22385.06184
61.05715568,22636.79048
63.21971155,22888.51913
65.38226742,23139.11387
67.54482329,23388.57469
69.70737916,23638.03551
71.65367944,23851.21113
74.35687428,24162.52174
76.73568574,24429.50667
79.1144972,24678.96749
80.95266969,24867.95296
83.65586452,25159.3342
86.03467598,25404.6717
88.41348744,25636.60842
90.7922989,25870.60679
93.17111036,26095.3277
95.54992181,26317.98695
97.92873327,26525.18375
100.3075447,26730.31889
102.6863562,26928.23822
105.0651676,27124.09589
107.4439791,27305.52194
109.8227906,27485.91716
112.201602,27657.03492
114.5804135,27824.02935
116.9592249,27986.90047
119.3380364,28143.5866
121.7168478,28292.0261
123.9875315,28426.5494
